USD0534331	D1-121	Pet chew
USD0535066	D30-160	Pet toy
USD0535067	D30-160	Rolling pet toy
USD0535068	D30-160	Spherical pet toy
USD0535069	D32-22	Vacuum cleaner
USD0535070	D32-22	Vacuum cleaner
USD0535071	D32-22	Vacuum cleaner
USD0535072	D32-35	Compact disc cleaner
USD0535073	D32-35	Plunger bell
USD0535074	D32-70	Electric steam iron
USD0535075	D34-1	Waste container with perforation band
USD0535076	D34-24	Wheeled holder for carpet cleaning nozzle
USD0535077	D34-32	Portable ramp with pad and stabilizers
USD0535078	D34-32	Portable ramp with pad and stabilizers
USD0535079	D34-35	Pallet truck pump housing
USD0535080	D34-38	Rack
USD0535081	D1-105	Food casing
USD0535082	D1-122	Pet treat
USD0535083	D2-503	Scarf
USD0535084	D2-742	Riding chaps
USD0535085	D2-946	Portion of a shoe upper
USD0535086	D2-946	Skate or boot accessory having battery-powered LED lights with vibration-activating switch
USD0535087	D2-965	Bend shoe sole design
USD0535088	D2-969	Footwear upper portion
USD0535089	D2-969	Footwear upper
USD0535090	D2-969	Footwear upper
USD0535091	D2-969	Footwear upper
USD0535092	D2-969	Shoe
USD0535093	D2-970	Footwear upper
USD0535094	D2-972	Overshoe toe portion
USD0535095	D2-972	Portion of a shoe upper
USD0535096	D3-203.3	Fishing gear
USD0535097	D3-243	Accessory bag
USD0535098	D3-246	Handbag
USD0535099	D3-276	Bag
USD0535100	D3-283	Briefcase
USD0535101	D3-289	Briefcase with internal organization
USD0535102	D3-302	Box for containing collectible cards
USD0535103	D3-315	Caddy
USD0535104	D4-116	Nail polish bottle
USD0535105	D4-116	Nail polish bottle
USD0535106	D4-199	Travel case
USD0535107	D5-57	Surface pattern of a paper product
USD0535108	D5-99	Synthetic wicker
USD0535109	D6-312	Signholder and adjustable easel
USD0535110	D6-323	Robe hook
USD0535111	D6-328	Flexible apparel hook
USD0535112	D6-366	Chair
USD0535113	D6-366	Chair
USD0535114	D6-381	Lounge chair
USD0535115	D6-382	Bed
USD0535116	D6-425	Campaign desk
USD0535117	D6-440	Jewelry chest
USD0535118	D6-446	Laundry storage device
USD0535119	D6-448	Laundry storage device
USD0535120	D6-448	Laundry storage device
USD0535121	D6-448	Laundry storage device
USD0535122	D6-480	Table
USD0535123	D6-492	Arm chair
USD0535124	D6-492	Arm chair
USD0535125	D6-500	Child seat base
USD0535126	D6-500	Seat and back
USD0535127	D6-500	Seat and back rest for a chair
USD0535128	D6-500	Seat and back rest for a chair
USD0535129	D6-501	Armrest
USD0535130	D6-501	Chair arm
USD0535131	D6-501	Armrest
USD0535132	D6-501	Chair arm
USD0535133	D6-501	Chair side frame
USD0535134	D6-502	Seat frame
USD0535135	D6-505	Bed headboard
USD0535136	D6-505	Footboard
USD0535137	D7-332	Barbecue apparatus
USD0535138	D7-334	Barbeque grill
USD0535139	D7-334	Barbeque grill
USD0535140	D7-335	Bar-b-que grill
USD0535141	D7-351	Microwave oven
USD0535142	D7-375	Food waste disposer trim shell
USD0535143	D7-391	Cover for a microwave container
USD0535144	D7-392.1	Lid
USD0535145	D7-393	Barbecue implement
USD0535146	D7-394	Handle
USD0535147	D7-395	Barbecue implement with laminated grip
USD0535148	D7-397	Teakettle handle
USD0535149	D7-401.2	Utensil tool apparatus
USD0535150	D7-402	Range hood
USD0535151	D7-510	Beverage container
USD0535152	D7-523	Cup
USD0535153	D7-542	Covered casserole
USD0535154	D7-605	Combined wine cooler and warmer
USD0535155	D7-625	Drink coaster
USD0535156	D7-625	Drink coaster
USD0535157	D7-628	Football helmet container
USD0535158	D7-653	Spoon
USD0535159	D7-664	Utensil handle
USD0535160	D7-673	Adjustable slicer
USD0535161	D7-673	Food slicer
USD0535162	D7-673	Manual vegetable cutter
USD0535163	D7-673	Cutting blade for a manual vegetable cutter
USD0535164	D7-674	Patty forming device
USD0535165	D8-14	Handle for adjusting louvers
USD0535166	D8-30	Welding gun
USD0535167	D8-30	Glue gun
USD0535168	D8-50	Stapler
USD0535170	D8-82	Screwdriver
USD0535171	D8-99	Knife
USD0535172	D8-107	Tool grip
USD0535173	D8-107	Tool grip
USD0535174	D8-107	Tool handle with wavy neck
USD0535175	D8-307	Toilet attachment
USD0535176	D8-330	Wheel locking device for tandem wheel trailer
USD0535177	D8-333	Cable lock
USD0535178	D8-353	Reversible cover for electronic chassis
USD0535179	D8-367	Adhesive layered retaining clip
USD0535180	D8-382	Insert stud for molded plastic components
USD0535181	D8-394	Carpet holder
USD0535182	D8-401	Door knocker
USD0535183	D8-401	Work tool attachment coupler for a machine
USD0535184	D9-422	Container
USD0535185	D9-422	Container
USD0535186	D9-422	Container
USD0535187	D9-430	Box
USD0535188	D9-448	Container cover
USD0535189	D9-452	Closure cap
USD0535191	D9-695	Tube
USD0535192	D9-702	Packaging bag
USD0535193	D9-721	Paperboard package with disposable container
USD0535194	D9-732	Packaging
USD0535195	D9-756	Multiple container pack
USD0535196	D9-756	Cosmetic package
USD0535197	D9-774	Tin can
USD0535198	D10-32	Timepiece
USD0535200	D10-32	Wrist watch
USD0535201	D10-40	Adjustable timer housing
USD0535202	D10-57	Ergonomic electronic thermometer
USD0535203	D10-57	Electronic clinical thermometer
USD0535204	D10-104	Occupancy sensor fascia cover plate
USD0535205	D10-104	Monitoring bracelet
USD0535206	D10-126	Face display for a timepiece
USD0535207	D10-126	Face display for a timepiece
USD0535208	D11-26	Korean christian verse ring
USD0535209	D11-27	Ring
USD0535210	D11-27	Finger ring
USD0535211	D11-165	Flag with interchangeable detachable appliqu&eacute;s
USD0535212	D11-216	Side release buckle
USD0535213	D11-216	Side release buckle
USD0535214	D11-216	Buckle
USD0535215	D12-87	Go-cart
USD0535216	D12-110	Motorcycle
USD0535217	D12-110	Motorcycle
USD0535218	D12-113	Recreation vehicle
USD0535219	D12-114	Forward chassis and support for a cycle
USD0535220	D12-130	Walker
USD0535221	D12-163	Vehicle grille
USD0535222	D12-163	Front grille for an automobile
USD0535223	D12-163	Vehicle grille
USD0535224	D12-163	Front grille for an automobile
USD0535225	D12-169	Front bumper for a truck
USD0535230	D12-169	Automobile front bumper fascia
USD0535231	D12-169	Front bumper for an automobile
USD0535232	D12-169	Rear bumper for an automobile
USD0535233	D12-169	Front bumper for an automobile
USD0535234	D12-192	Automobile cowl gauge mounting panel
USD0535235	D12-196	Door for truck underbed box
USD0535236	D12-196	Portion of a vehicle exterior
USD0535237	D12-209	Custom wheel
USD0535238	D12-209	Automotive wheel
USD0535239	D12-209	Vehicle wheel
USD0535240	D12-211	Front face of a vehicle wheel
USD0535241	D12-211	Automotive wheel
USD0535242	D12-211	Automotive wheel
USD0535243	D12-223	Motorcycle mounting bracket
USD0535244	D12-307	Water scooter
USD0535245	D12-415	Console lid
USD0535246	D12-418	Cradle cover for a vehicle entertainment system
USD0535247	D12-553	Tire tread
USD0535248	D12-553	Tire tread
USD0535249	D13-103	Battery
USD0535250	D13-103	Battery pack
USD0535251	D13-107	Charger
USD0535252	D13-108	Charger for electronic device
USD0535253	D13-120	Battery pack terminal and housing
USD0535254	D13-139.3	Receptacle type ground fault circuit interrupter with window
USD0535255	D13-139.3	Receptacle type receptacle ground fault circuit interrupter
USD0535256	D13-139.3	Portion of a decorator receptacle
USD0535257	D13-139.4	Expandable power and data center
USD0535258	D13-147	Connector
USD0535259	D13-151	Coaxial cable connector
USD0535260	D13-162	Signal module
USD0535261	D13-168	Remote control
USD0535262	D13-180	Light emitting diode module
USD0535263	D13-180	Light emitting diode
USD0535264	D13-182	Electrode layer
USD0535265	D14-126	Television receiver
USD0535266	D14-126	Television set
USD0535267	D14-128	Projection television
USD0535268	D14-130	Video entry-phone control board
USD0535269	D14-132	Overhead automobile entertainment system
USD0535270	D14-136	Digital video disc player
USD0535271	D14-138	Mobile phone
USD0535272	D14-138	Portable telephone
USD0535273	D14-138	Portable telephone
USD0535274	D14-138	Mobile phone
USD0535275	D14-138	Portable phone
USD0535276	D14-147	Cordless telephone handset
USD0535277	D14-151	Telephone
USD0535278	D14-155	Wireless audio transmitter
USD0535279	D14-155	Transmitter
USD0535280	D14-156	Disc player
USD0535281	D14-167	Sound recording and reproducing apparatus
USD0535282	D14-188	Amplifier
USD0535283	D14-188	Device for sound amplification, in particular pre-amplifier, amplifier and speaker
USD0535284	D14-188	Audio tuner
USD0535285	D14-205	Earpiece and headband for a communications headset
USD0535286	D14-206	Communication headset
USD0535287	D14-215	Speakers for hand-held electronic game apparatus
USD0535288	D14-215	Amplified audio docking station for a motorcycle
USD0535289	D14-216	Speaker
USD0535290	D14-230	Multi-band antenna
USD0535291	D14-230	Antenna connector
USD0535292	D14-315	Notebook computer
USD0535293	D14-363	Hard disk drive
USD0535294	D14-363	Optical disk drive
USD0535295	D14-385	Reader for portable device such as a smart card
USD0535296	D14-385	Card key encoder
USD0535297	D14-436	Memory card with two sets of contacts
USD0535298	D14-444	Face plate for portable hard disk drive container
USD0535299	D14-444	Front bezel for computer enclosure
USD0535300	D14-445	Computer front bezel
USD0535301	D14-486	Iconic display for a display screen of an aircraft flight attendant panel
USD0535303	D14-489	Icon for a portion of a display screen
USD0535305	D14-496	MP3 player
USD0535306	D14-496	Memory card audio player with a radio tuner
USD0535307	D14-496	Memory card audio player with a radio tuner
USD0535308	D14-496	Media device
USD0535309	D15-9	Air compressor shroud
USD0535310	D15-30	Cabin of a tractor
USD0535311	D15-136	Die press
USD0535312	D15-139	Cutting insert
USD0535313	D15-199	Tire changer jaw
USD0535314	D16-202	Digital camera
USD0535315	D16-319	Eyeglasses
USD0535316	D16-326	Eyeglasses
USD0535317	D16-326	Safety glasses
USD0535318	D16-326	Eyeglass frame
USD0535319	D16-326	Eyeglass frame
USD0535320	D16-326	Eyeglasses
USD0535321	D17-20	Guitar pick-up
USD0535322	D18-34.4	Paper shredder
USD0535323	D18-35	Pneumatic tube system transaction terminal
USD0535324	D18-50	Digital photo printer
USD0535325	D18-55	Printer
USD0535326	D18-56	Cartridge
USD0535327	D18-56	Ink stick for phase change ink jet printer
USD0535328	D18-56	Printer bumper
USD0535329	D18-56	Ink stick for phase change ink jet printer
USD0535330	D19-43	Marker
USD0535331	D19-47	Writing instrument with cap
USD0535332	D19-55	Grip for a writing instrument
USD0535333	D19-64	Chord wheel
USD0535334	D19-69	Masking tape applicator
USD0535335	D19-86	Notepad holder with concealable calculator
USD0535336	D21-279	Exercise bar
USD0535338	D21-369	Gaming machine
USD0535339	D21-573	Integrated hopper
USD0535340	D21-573	Trigger assembly
USD0535341	D21-707	Elastomeric tentacle ball
USD0535342	D21-752	Golf club head
USD0535343	D21-752	Golf driver head
USD0535344	D21-754	Golf putter head cover
USD0535345	D21-792	Golf swing training pattern for mat
USD0535346	D21-794	Golf ball marker apparatus
USD0535347	D21-796	Reversible golf club holder
USD0535348	D21-811	Snowman mold
USD0535349	D21-834	Collapsible fabric dome
USD0535350	D21-834	Dome-shaped tent
USD0535351	D22-147	Fishing device
USD0535352	D23-207	Container for water treatment device
USD0535353	D23-211.1	Fuel container
USD0535354	D23-223	Hand shower
USD0535355	D23-238	Water tap
USD0535356	D23-238	Faucet
USD0535357	D23-238	Faucet
USD0535358	D23-238	Mixer tap for a kitchen sink
USD0535359	D23-238	Faucet
USD0535360	D23-238	Mixer tap for a kitchen sink
USD0535361	D23-238	Mixer tap for a kitchen sink
USD0535362	D23-239	Faucet
USD0535363	D23-241	Faucet
USD0535364	D23-252	Handle
USD0535365	D23-252	Valve-actuating handle assembly
USD0535366	D23-255	Spout
